Element  Analyticvalue  Numericvalue   Abs.err        Rel.err
302      -4.043493e-02  -4.037952e-02  5.541410e-05   1.37e-03  
303      -4.037856e-02  -4.603407e-02  5.655516e-03   1.40e-01  
304      -3.904398e-02  -4.258186e-02  3.537881e-03   9.06e-02  
305      -3.206522e-02  -2.819684e-02  3.868381e-03   1.21e-01  
306      -2.136116e-02  -1.870308e-02  2.658082e-03   1.24e-01  
307      -9.212468e-03  -1.153262e-02  2.320152e-03   2.52e-01  
308      2.003979e-03   4.323965e-03   2.319987e-03   1.16e+00  
309      1.010586e-02   9.619271e-03   4.865928e-04   4.81e-02  
310      1.334622e-02   1.334456e-02   1.658138e-06   1.24e-04  
311      1.052955e-02   1.215994e-02   1.630391e-03   1.55e-01  
312      9.509282e-04   1.321041e-04   8.188241e-04   8.61e-01  
313      -1.584240e-02  -1.690591e-02  1.063510e-03   6.71e-02  
314      -4.040871e-02  -4.138406e-02  9.753459e-04   2.41e-02  
315      -7.380118e-02  -7.610083e-02  2.299647e-03   3.12e-02  
316      -1.179144e-01  -1.186427e-01  7.282790e-04   6.18e-03  
317      -1.757430e-01  -1.742981e-01  1.444911e-03   8.22e-03  
318      -2.515171e-01  -2.522725e-01  7.553473e-04   3.00e-03  
319      -3.506536e-01  -3.504574e-01  1.961934e-04   5.60e-04  
320      -4.794149e-01  -4.797685e-01  3.535515e-04   7.37e-04  
321      -6.441315e-01  -6.438886e-01  2.428836e-04   3.77e-04  
322      -8.498559e-01  -8.480747e-01  1.781189e-03   2.10e-03  
323      -1.098420e+00  -1.096154e+00  2.266486e-03   2.06e-03  
324      -1.386079e+00  -1.386459e+00  3.799255e-04   2.74e-04  
325      -1.701196e+00  -1.700813e+00  3.832874e-04   2.25e-04  
326      -2.022671e+00  -2.022744e+00  7.270325e-05   3.59e-05  
327      -2.319830e+00  -2.321167e+00  1.337378e-03   5.76e-04  
328      -2.554288e+00  -2.556001e+00  1.713673e-03   6.71e-04  
329      -2.683847e+00  -2.687105e+00  3.257239e-03   1.21e-03  
330      -2.668038e+00  -2.670269e+00  2.230294e-03   8.36e-04  
331      -2.474730e+00  -2.477203e+00  2.473157e-03   9.99e-04  
332      -2.087357e+00  -2.089312e+00  1.955167e-03   9.37e-04  
333      -1.512430e+00  -1.513295e+00  8.646757e-04   5.72e-04  
334      -7.864230e-01  -7.890419e-01  2.618865e-03   3.33e-03  
335      2.059728e-02   2.188335e-02   1.286075e-03   6.24e-02  
336      8.089770e-01   8.086336e-01   3.434704e-04   4.25e-04  
337      1.464727e+00   1.465884e+00   1.156798e-03   7.90e-04  
338      1.884829e+00   1.885345e+00   5.155448e-04   2.74e-04  
339      2.005024e+00   2.008063e+00   3.038870e-03   1.52e-03  
340      1.819187e+00   1.820951e+00   1.764802e-03   9.70e-04  
341      1.381904e+00   1.382409e+00   5.045303e-04   3.65e-04  
342      7.933898e-01   7.929600e-01   4.297536e-04   5.42e-04  
343      1.744312e-01   1.735325e-01   8.987334e-04   5.15e-03  
344      -3.564829e-01  -3.568700e-01  3.871689e-04   1.09e-03  
345      -6.940878e-01  -6.961318e-01  2.043962e-03   2.94e-03  
346      -7.422498e-01  -7.434894e-01  1.239611e-03   1.67e-03  
347      -3.981194e-01  -3.546058e-01  4.351357e-02   1.09e-01  
348      4.689651e-01   8.923246e-01   4.233595e-01   9.03e-01  
349      1.037239e+00   1.374482e+00   3.372423e-01   3.25e-01  
350      1.718920e+00   1.624419e+00   9.450136e-02   5.50e-02  
351      -2.385515e-02  -1.542116e-02  8.433990e-03   3.54e-01  
352      -2.584726e-02  -2.570300e-02  1.442532e-04   5.58e-03  
353      -2.566136e-02  -2.667957e-02  1.018215e-03   3.97e-02  
354      -2.428347e-02  -2.690467e-02  2.621206e-03   1.08e-01  
355      -1.754045e-02  -1.955141e-02  2.010961e-03   1.15e-01  
356      -7.834105e-03  -5.525635e-03  2.308470e-03   2.95e-01  
357      2.244966e-03   -9.390533e-05  2.338871e-03   1.04e+00  
358      1.031476e-02   1.185981e-02   1.545052e-03   1.50e-01  
359      1.458270e-02   1.659532e-02   2.012625e-03   1.38e-01  
360      1.407953e-02   1.419357e-02   1.140457e-04   8.10e-03  
361      8.657529e-03   7.650215e-03   1.007314e-03   1.16e-01  
362      -1.253370e-03  -4.765297e-03  3.511928e-03   2.80e+00  
363      -1.504941e-02  -1.807234e-02  3.022935e-03   2.01e-01  
364      -3.238856e-02  -3.220430e-02  1.842662e-04   5.69e-03  
365      -5.356239e-02  -5.526454e-02  1.702148e-03   3.18e-02  
366      -7.978343e-02  -7.975609e-02  2.733861e-05   3.43e-04  
367      -1.134121e-01  -1.138187e-01  4.066081e-04   3.59e-03  
368      -1.581315e-01  -1.600501e-01  1.918618e-03   1.21e-02  
369      -2.190212e-01  -2.200150e-01  9.937375e-04   4.54e-03  
370      -3.024048e-01  -3.019966e-01  4.082109e-04   1.35e-03  
