Element  Analyticvalue  Numericvalue   Abs.err        Rel.err
288      -2.535074e+01  -2.535187e+01  1.132695e-03   4.47e-05  
289      -2.666960e+01  -2.667077e+01  1.175296e-03   4.41e-05  
290      -2.756418e+01  -2.756238e+01  1.808177e-03   6.56e-05  
291      -2.798426e+01  -2.798324e+01  1.016357e-03   3.63e-05  
292      -2.789668e+01  -2.789936e+01  2.682356e-03   9.62e-05  
293      -2.729952e+01  -2.730067e+01  1.151047e-03   4.22e-05  
294      -2.624294e+01  -2.624646e+01  3.525726e-03   1.34e-04  
295      -2.486154e+01  -2.486227e+01  7.298622e-04   2.94e-05  
296      -2.342257e+01  -2.342121e+01  1.355537e-03   5.79e-05  
297      -2.238961e+01  -2.315972e+01  7.701101e-01   3.44e-02  
298      -2.249971e+01  -2.621205e+01  3.712334e+00   1.65e-01  
299      -2.259650e+01  -2.320821e+01  6.117198e-01   2.71e-02  
300      -2.316356e+01  -1.906509e+01  4.098471e+00   1.77e-01  
301      -1.897437e-01  -1.450380e-01  4.470567e-02   2.36e-01  
302      -2.248436e-01  -2.139827e-01  1.086088e-02   4.83e-02  
303      -2.638038e-01  -2.883482e-01  2.454445e-02   9.30e-02  
304      -3.252357e-01  -3.318228e-01  6.587114e-03   2.03e-02  
305      -3.788997e-01  -3.795556e-01  6.558375e-04   1.73e-03  
306      -4.168838e-01  -4.188394e-01  1.955532e-03   4.69e-03  
307      -4.343238e-01  -4.338299e-01  4.939571e-04   1.14e-03  
308      -4.287143e-01  -4.282899e-01  4.244129e-04   9.90e-04  
309      -3.990936e-01  -4.008048e-01  1.711123e-03   4.29e-03  
310      -3.452323e-01  -3.438065e-01  1.425764e-03   4.13e-03  
311      -2.668145e-01  -2.669403e-01  1.258255e-04   4.72e-04  
312      -1.626326e-01  -1.616265e-01  1.006055e-03   6.19e-03  
313      -2.990898e-02  -3.011473e-02  2.057542e-04   6.88e-03  
314      1.360586e-01   1.334379e-01   2.620681e-03   1.93e-02  
315      3.417199e-01   3.439484e-01   2.228534e-03   6.52e-03  
316      5.944076e-01   5.921386e-01   2.269031e-03   3.82e-03  
317      9.007275e-01   9.002929e-01   4.345613e-04   4.82e-04  
318      1.264260e+00   1.264162e+00   9.818456e-05   7.77e-05  
319      1.682764e+00   1.685846e+00   3.082195e-03   1.83e-03  
320      2.145226e+00   2.145695e+00   4.683461e-04   2.18e-04  
321      2.629297e+00   2.627026e+00   2.270512e-03   8.64e-04  
322      3.099793e+00   3.099056e+00   7.365161e-04   2.38e-04  
323      3.508999e+00   3.508878e+00   1.213395e-04   3.46e-05  
324      3.799281e+00   3.798591e+00   6.903522e-04   1.82e-04  
325      3.908069e+00   3.908552e+00   4.833528e-04   1.24e-04  
326      3.774624e+00   3.776678e+00   2.054506e-03   5.44e-04  
327      3.347342e+00   3.345874e+00   1.468520e-03   4.39e-04  
